Date Time,Day,Hour,Minutes,Seconds,Wind speed
2019-01-21 07:00:00,20,7,0,0,1.1
2019-01-21 08:00:00,20,8,0,0,0.9
2019-01-21 09:00:00,20,9,0,0,1.2
2019-01-21 10:00:00,20,10,0,0,1.0
2019-01-21 11:00:00,20,11,0,0,1.1
2019-01-21 12:00:00,20,12,0,0,1.6
2019-01-21 13:00:00,20,13,0,0,1.1
2019-01-21 14:00:00,20,14,0,0,2.2
2019-01-21 15:00:00,20,15,0,0,2.1
2019-01-21 16:00:00,20,16,0,0,2.6
2019-01-21 17:00:00,20,17,0,0,2.3
2019-01-21 18:00:00,20,18,0,0,2.2
2019-01-21 19:00:00,20,19,0,0,1.7
2019-01-21 20:00:00,20,20,0,0,1.9
2019-01-21 21:00:00,20,21,0,0,1.3
2019-01-21 22:00:00,20,22,0,0,0.7
2019-01-21 23:00:00,20,23,0,0,0.8
2019-01-22 00:00:00,21,0,0,0,1.2
2019-01-22 01:00:00,21,1,0,0,0.8
2019-01-22 02:00:00,21,2,0,0,0.8
2019-01-22 03:00:00,21,3,0,0,0.3
2019-01-22 04:00:00,21,4,0,0,1.3
2019-01-22 05:00:00,21,5,0,0,1.2
2019-01-22 06:00:00,21,6,0,0,1.5
2019-01-22 07:00:00,21,7,0,0,1.1
2019-01-22 08:00:00,21,8,0,0,0.5
2019-01-22 09:00:00,21,9,0,0,0.9
2019-01-22 10:00:00,21,10,0,0,0.9
2019-01-22 11:00:00,21,11,0,0,1.0
2019-01-22 12:00:00,21,12,0,0,1.0
2019-01-22 13:00:00,21,13,0,0,0.9
2019-01-22 14:00:00,21,14,0,0,2.2
2019-01-22 15:00:00,21,15,0,0,3.5
2019-01-22 16:00:00,21,16,0,0,3.5
2019-01-22 17:00:00,21,17,0,0,2.4
2019-01-22 18:00:00,21,18,0,0,2.2
2019-01-22 19:00:00,21,19,0,0,1.0
2019-01-22 20:00:00,21,20,0,0,2.4
2019-01-22 21:00:00,21,21,0,0,2.7
2019-01-22 22:00:00,21,22,0,0,1.0
2019-01-22 23:00:00,21,23,0,0,0.8
2019-01-23 00:00:00,22,0,0,0,1.0
2019-01-23 01:00:00,22,1,0,0,1.0
2019-01-23 02:00:00,22,2,0,0,0.8
2019-01-23 03:00:00,22,3,0,0,0.4
2019-01-23 04:00:00,22,4,0,0,0.7
2019-01-23 05:00:00,22,5,0,0,0.8
2019-01-23 06:00:00,22,6,0,0,0.5
2019-01-23 07:00:00,22,7,0,0,1.4
2019-01-23 08:00:00,22,8,0,0,0.9
2019-01-23 09:00:00,22,9,0,0,0.6
2019-01-23 10:00:00,22,10,0,0,0.7
2019-01-23 11:00:00,22,11,0,0,0.6
2019-01-23 12:00:00,22,12,0,0,0.8
2019-01-23 13:00:00,22,13,0,0,1.7
2019-01-23 14:00:00,22,14,0,0,2.3
2019-01-23 15:00:00,22,15,0,0,3.2
2019-01-23 16:00:00,22,16,0,0,2.7
2019-01-23 17:00:00,22,17,0,0,2.9
2019-01-23 18:00:00,22,18,0,0,2.0
2019-01-23 19:00:00,22,19,0,0,2.3
2019-01-23 20:00:00,22,20,0,0,1.9
2019-01-23 21:00:00,22,21,0,0,1.9
2019-01-23 22:00:00,22,22,0,0,2.2
2019-01-23 23:00:00,22,23,0,0,0.4
2019-01-24 00:00:00,23,0,0,0,0.9
2019-01-24 01:00:00,23,1,0,0,1.7
2019-01-24 02:00:00,23,2,0,0,0.6
2019-01-24 03:00:00,23,3,0,0,0.8
